model,device,dtype,batch_size,length,dim,level,benchmark_level,mae,mape,rmse,time
monomial_interp,cpu,float64,4,50,2,15,21,4.7455095408821535e-14,5.6665825478979076e-14,2.300851003883991e-13,3.1754400699865073
monomial_interp,cpu,float64,4,50,2,16,21,4.8102147265360884e-14,6.07348587972628e-14,2.310600592509428e-13,3.537340263836086
monomial_interp,cpu,float64,4,50,2,17,21,4.89833867911571e-14,6.01478403065136e-14,2.341185731743426e-13,4.044798579066992
monomial_approx2,cpu,float64,4,50,2,2,21,0.0005258540481503328,0.0015473652438146108,0.0027797361968871404,0.01184966554865241
monomial_approx2,cpu,float64,4,50,2,3,21,1.6131054471460286e-05,4.1803796300160027e-05,7.730674132452044e-05,0.04470222652889788
monomial_approx2,cpu,float64,4,50,2,4,21,1.1649541863719554e-07,3.703527551217635e-07,7.273684149461304e-07,0.05112746893428266
monomial_approx2,cpu,float64,4,50,2,5,21,1.1497454793785167e-09,3.763194987713113e-09,7.019643172229496e-09,0.08594970731064677
monomial_approx2,cpu,float64,4,50,2,6,21,7.567176919798246e-12,2.501450904081659e-11,5.267566803237189e-11,0.16102602635510266
monomial_approx2,cpu,float64,4,50,2,7,21,3.716905255801706e-14,1.3822433054475632e-13,2.753343311756596e-13,0.18131435057148337
monomial_approx2,cpu,float64,4,50,2,8,21,1.1405806854547507e-15,2.540140193459283e-15,5.706538921682001e-15,0.1916254390962422
monomial_approx2,cpu,float64,4,50,2,9,21,8.925152283900673e-16,1.8639191374134528e-15,4.547109642834451e-15,0.25074086314998567
monomial_approx2,cpu,float64,4,50,2,10,21,8.925152283900673e-16,1.8639191374134528e-15,4.547109642834451e-15,0.2883227183483541
monomial_approx2,cpu,float64,4,50,2,11,21,8.925152283900673e-16,1.8639191374134528e-15,4.547109642834451e-15,0.2759711768012494
