analysis,model,device,dtype,batch_size,length,dim,param,time
dim,monomial_approx,cpu,float32,8,32,300,5,1.008871553465724
dim,sigkerax,cpu,float32,8,32,300,1,1.6686566537246108
dim,sigkerax,cpu,float32,8,32,300,2,1.8983797784894705
dim,sigkerax,cpu,float32,8,32,300,3,2.004269404647251
dim,sigkerax,cpu,float32,8,32,300,4,2.1383348321542144
dim,monomial_approx,cpu,float32,8,32,350,2,0.8380318032577634
dim,monomial_approx,cpu,float32,8,32,350,3,0.9410893035431704
dim,monomial_approx,cpu,float32,8,32,350,4,0.9853561113898952
dim,monomial_approx,cpu,float32,8,32,350,5,1.010318554006517
dim,sigkerax,cpu,float32,8,32,350,1,1.6800775916005175
dim,sigkerax,cpu,float32,8,32,350,2,1.9113883978376789
dim,sigkerax,cpu,float32,8,32,350,3,2.020915319522222
dim,sigkerax,cpu,float32,8,32,350,4,2.176871138935288
dim,monomial_approx,cpu,float32,8,32,400,2,0.8481413793439666
dim,monomial_approx,cpu,float32,8,32,400,3,0.9555373241504034
dim,monomial_approx,cpu,float32,8,32,400,4,1.003251990613838
dim,monomial_approx,cpu,float32,8,32,400,5,1.0184438194458685
dim,sigkerax,cpu,float32,8,32,400,1,1.6853386883934338
dim,sigkerax,cpu,float32,8,32,400,2,1.901569697074592
dim,sigkerax,cpu,float32,8,32,400,3,2.012589555233717
dim,sigkerax,cpu,float32,8,32,400,4,2.1943118954077363
dim,monomial_approx,cpu,float32,8,32,450,2,0.8542111736411849
dim,monomial_approx,cpu,float32,8,32,450,3,0.9575767150769632
dim,monomial_approx,cpu,float32,8,32,450,4,1.0008799874534209
dim,monomial_approx,cpu,float32,8,32,450,5,1.0308421840891242
dim,sigkerax,cpu,float32,8,32,450,1,1.715888281352818
dim,sigkerax,cpu,float32,8,32,450,2,1.921251012943685
dim,sigkerax,cpu,float32,8,32,450,3,2.059081190576156
dim,sigkerax,cpu,float32,8,32,450,4,2.22578065097332
dim,monomial_approx,cpu,float32,8,32,500,2,0.8602482602000237
dim,monomial_approx,cpu,float32,8,32,500,3,0.9583922643214464
dim,monomial_approx,cpu,float32,8,32,500,4,1.0133989655102291
dim,monomial_approx,cpu,float32,8,32,500,5,1.0354871079325676
dim,sigkerax,cpu,float32,8,32,500,1,1.717048799308638
dim,sigkerax,cpu,float32,8,32,500,2,1.93294682726264
dim,sigkerax,cpu,float32,8,32,500,3,2.093128309274713
dim,sigkerax,cpu,float32,8,32,500,4,2.2291805890078344
dim,monomial_approx,cpu,float32,8,32,550,2,0.8476339733848969
dim,monomial_approx,cpu,float32,8,32,550,3,0.9540436460326116
dim,monomial_approx,cpu,float32,8,32,550,4,1.00227742921561
dim,monomial_approx,cpu,float32,8,32,550,5,1.0290177008137107
dim,sigkerax,cpu,float32,8,32,550,1,1.7793501168489456
dim,sigkerax,cpu,float32,8,32,550,2,1.9449509199087816
dim,sigkerax,cpu,float32,8,32,550,3,2.0846754424273968
dim,sigkerax,cpu,float32,8,32,550,4,2.241452424786985
dim,monomial_approx,cpu,float32,8,32,600,2,0.8535627232243618
dim,monomial_approx,cpu,float32,8,32,600,3,0.9468124601989985
dim,monomial_approx,cpu,float32,8,32,600,4,0.9972545405228932
dim,monomial_approx,cpu,float32,8,32,600,5,1.0250228416795533
dim,sigkerax,cpu,float32,8,32,600,1,1.7580684004351497
dim,sigkerax,cpu,float32,8,32,600,2,1.9384957108025749
dim,sigkerax,cpu,float32,8,32,600,3,2.098677741984526
dim,sigkerax,cpu,float32,8,32,600,4,2.260093581241866
dim,monomial_approx,cpu,float32,8,32,650,2,0.855683388809363
dim,monomial_approx,cpu,float32,8,32,650,3,0.9577617406224213
dim,monomial_approx,cpu,float32,8,32,650,4,1.0046404820556445
dim,monomial_approx,cpu,float32,8,32,650,5,1.0326100547487538
dim,sigkerax,cpu,float32,8,32,650,1,1.774890650374194
dim,sigkerax,cpu,float32,8,32,650,2,1.9500104387601216
dim,sigkerax,cpu,float32,8,32,650,3,2.096870518599947
dim,sigkerax,cpu,float32,8,32,650,4,2.3085232730954885
dim,monomial_approx,cpu,float32,8,32,700,2,0.855217240129908
dim,monomial_approx,cpu,float32,8,32,700,3,0.9569936844830712
dim,monomial_approx,cpu,float32,8,32,700,4,1.0060923133666315
dim,monomial_approx,cpu,float32,8,32,700,5,1.0361637277528644
dim,sigkerax,cpu,float32,8,32,700,1,1.7889853846281767
dim,sigkerax,cpu,float32,8,32,700,2,1.9548836993053555
dim,sigkerax,cpu,float32,8,32,700,3,2.0955011742189527
dim,sigkerax,cpu,float32,8,32,700,4,2.331808215317627
dim,monomial_approx,cpu,float32,8,32,750,2,0.8598376826072732
dim,monomial_approx,cpu,float32,8,32,750,3,0.9592883003254732
dim,monomial_approx,cpu,float32,8,32,750,4,1.0090986921762426
dim,monomial_approx,cpu,float32,8,32,750,5,1.0438330229371786
dim,sigkerax,cpu,float32,8,32,750,1,1.7795128393918276
dim,sigkerax,cpu,float32,8,32,750,2,1.9860628095145028
dim,sigkerax,cpu,float32,8,32,750,3,2.1147337270279727
dim,sigkerax,cpu,float32,8,32,750,4,2.3579482451702156
dim,monomial_approx,cpu,float32,8,32,800,2,0.8503071088343859
dim,monomial_approx,cpu,float32,8,32,800,3,0.9485916439443828
dim,monomial_approx,cpu,float32,8,32,800,4,0.9985592135538658
dim,monomial_approx,cpu,float32,8,32,800,5,1.0391985327005386
dim,sigkerax,cpu,float32,8,32,800,1,1.7351101723810036
dim,sigkerax,cpu,float32,8,32,800,2,1.9322861973196268
dim,sigkerax,cpu,float32,8,32,800,3,2.0776616015161076
dim,sigkerax,cpu,float32,8,32,800,4,2.3554059291879335
dim,monomial_approx,cpu,float32,8,32,850,2,0.8575238697230816
dim,monomial_approx,cpu,float32,8,32,850,3,0.959134316071868
dim,monomial_approx,cpu,float32,8,32,850,4,1.0097870578368504
dim,monomial_approx,cpu,float32,8,32,850,5,1.0420505674555898
dim,sigkerax,cpu,float32,8,32,850,1,1.7837002618859212
dim,sigkerax,cpu,float32,8,32,850,2,1.9880846009279292
dim,sigkerax,cpu,float32,8,32,850,3,2.166659296490252
dim,sigkerax,cpu,float32,8,32,850,4,2.445512292906642
dim,monomial_approx,cpu,float32,8,32,900,2,0.8703675319751104
dim,monomial_approx,cpu,float32,8,32,900,3,0.963557050252954
dim,monomial_approx,cpu,float32,8,32,900,4,1.015425268560648
dim,monomial_approx,cpu,float32,8,32,900,5,1.038645786854128
dim,sigkerax,cpu,float32,8,32,900,1,1.7917798465738697
dim,sigkerax,cpu,float32,8,32,900,2,1.9967130649213989
dim,sigkerax,cpu,float32,8,32,900,3,2.163444507867098
dim,sigkerax,cpu,float32,8,32,900,4,2.514550604236623
dim,monomial_approx,cpu,float32,8,32,950,2,0.8605154752731323
dim,monomial_approx,cpu,float32,8,32,950,3,0.9615180362015964
dim,monomial_approx,cpu,float32,8,32,950,4,1.0089791817590594
dim,monomial_approx,cpu,float32,8,32,950,5,1.0408781540269654
dim,sigkerax,cpu,float32,8,32,950,1,1.7902154431988797
dim,sigkerax,cpu,float32,8,32,950,2,1.9877309501171112
dim,sigkerax,cpu,float32,8,32,950,3,2.2091308031231165
dim,sigkerax,cpu,float32,8,32,950,4,2.5549209620803595
dim,monomial_approx,cpu,float32,8,32,1000,2,0.8648734493181109
dim,monomial_approx,cpu,float32,8,32,1000,3,0.9669865953425566
dim,monomial_approx,cpu,float32,8,32,1000,4,1.015532958321273
dim,monomial_approx,cpu,float32,8,32,1000,5,1.0490496046841145
dim,sigkerax,cpu,float32,8,32,1000,1,1.7858239666869242
dim,sigkerax,cpu,float32,8,32,1000,2,1.969292172541221
dim,sigkerax,cpu,float32,8,32,1000,3,2.217717724541823
dim,sigkerax,cpu,float32,8,32,1000,4,2.5395879639933505
dim,monomial_approx,cpu,float32,8,32,1050,2,0.8653530400867263
dim,monomial_approx,cpu,float32,8,32,1050,3,0.9651055186986924
dim,monomial_approx,cpu,float32,8,32,1050,4,1.016399735895296
dim,monomial_approx,cpu,float32,8,32,1050,5,1.0483849967519443
dim,sigkerax,cpu,float32,8,32,1050,1,1.7838724423199892
dim,sigkerax,cpu,float32,8,32,1050,2,2.000546356973549
dim,sigkerax,cpu,float32,8,32,1050,3,2.2645154328395924
dim,sigkerax,cpu,float32,8,32,1050,4,2.573422064073384
dim,monomial_approx,cpu,float32,8,32,1100,2,0.8733575381338596
dim,monomial_approx,cpu,float32,8,32,1100,3,0.9612615493436656
dim,monomial_approx,cpu,float32,8,32,1100,4,1.020242262010773
dim,monomial_approx,cpu,float32,8,32,1100,5,1.047333212569356
dim,sigkerax,cpu,float32,8,32,1100,1,1.8070449099565544
dim,sigkerax,cpu,float32,8,32,1100,2,2.007342278336486
dim,sigkerax,cpu,float32,8,32,1100,3,2.291787297464907
dim,sigkerax,cpu,float32,8,32,1100,4,2.619077306240797
dim,monomial_approx,cpu,float32,8,32,1150,2,0.8756289330000678
dim,monomial_approx,cpu,float32,8,32,1150,3,0.9742915847649176
dim,monomial_approx,cpu,float32,8,32,1150,4,1.0231149966518085
dim,monomial_approx,cpu,float32,8,32,1150,5,1.057585492109259
dim,sigkerax,cpu,float32,8,32,1150,1,1.792942550033331
